Date,Price
01-08-2021,4473.173172053228
01-09-2021,5142.747114203866
01-10-2021,4748.095253819584
01-11-2021,6656.8549095717635
01-12-2021,6256.203563599586
01-01-2022,5074.050623118429
01-02-2022,4176.831845192592
01-03-2022,4669.53953925169
01-04-2022,4943.021838710976
01-05-2022,4105.203663850749
01-06-2022,3418.7549214996025
01-07-2022,2092.73554121166
01-08-2022,2540.6312381636026
11-08-2022,2618.7069363829028
12-08-2022,2621.359213904363
13-08-2022,2676.1334817494635
14-08-2022,2680.527024177808
15-08-2022,2662.99685084232